annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,turnover,net_return_after_costs,average_transaction_cost_rate,framework,model
0.12453533261971317,0.14608769762797644,0.8524696784314582,-0.3853131946690702,0.32320547114061715,0.2392290249433107,0.11955280154160675,0.00037193098119606924,holding_buffer_top5,ridge_ic
0.12564186574940495,0.14476042157156008,0.8679296757041829,-0.3794291102822692,0.33113396506645476,0.22108843537414966,0.12114476051676526,0.0003373814426405631,holding_buffer_top5,lasso_ic
0.127574609817926,0.14349480875226198,0.8890538335653553,-0.37942911028226933,0.3362277863261973,0.23015873015873012,0.1230041150432517,0.0003408986789440001,holding_buffer_top5,elastic_net_ic
0.1257363499820512,0.15013196234058868,0.8375055386061383,-0.40931610483560066,0.3071864226611666,0.18480725623582764,0.12153377230068951,0.00031726498514670335,holding_buffer_top5,random_forest_ic
0.11548238842077918,0.1475764927897679,0.7825256328952823,-0.38679316262238383,0.29856367583602206,0.24603174603174602,0.1102089479568773,0.0003999879338306599,holding_buffer_top5,xgboost_ic
0.0984623076807909,0.14498320728262204,0.6791290489860253,-0.491245886611101,0.20043385678003534,0.003401360544217687,0.09839104609348759,5.333057086512037e-06,holding_buffer_top6,equal_weight_benchmark
0.11816710842173972,0.13489892389032504,0.8759677617429436,-0.370405155492189,0.3190212303193269,0.0873015873015873,0.1166168684899429,0.00011679582250505729,holding_buffer_top6,fixed_weight
0.12565887141574383,0.14389539309026414,0.873265423702059,-0.3704051554921892,0.33924709079378246,0.10544217687074829,0.12342615532286572,0.00016712601248477976,holding_buffer_top6,rolling_ic
0.11678372258406422,0.13724618928034052,0.8509068499200407,-0.35279667646972857,0.3310227402158783,0.13265306122448978,0.11395711586001545,0.00021352238595800403,holding_buffer_top6,ridge_ic
0.11464691064234023,0.13684541571098033,0.8377840795520421,-0.3485774097081564,0.3288994279300182,0.13718820861678002,0.11173687676710697,0.00021992033873558564,holding_buffer_top6,lasso_ic
0.11560548835452544,0.13745176627876604,0.8410622248394092,-0.3485774097081564,0.3316493987700327,0.1349206349206349,0.11272099171733263,0.0002178589037630972,holding_buffer_top6,elastic_net_ic
0.1278288884509866,0.14601331842804396,0.8754604705048278,-0.3704051554921892,0.34510558656001794,0.13038548752834467,0.12496194665903304,0.0002185327486023998,holding_buffer_top6,random_forest_ic
0.12260220680792866,0.1444342155117611,0.8488446201858957,-0.3527966764697287,0.3475151978038784,0.15306122448979592,0.11934783847523,0.00024755473945862387,holding_buffer_top6,xgboost_ic
